project_name,project_links,type,units
One Fort,https://www.propertyguru.com.sg//project/one-fort-790,condo,79.0
Cherryhill,https://www.propertyguru.com.sg//project/cherryhill-789,condo,104.0
Ventuno Balmoral,https://www.propertyguru.com.sg//project/ventuno-balmoral-795,condo,35.0
Fruition,https://www.propertyguru.com.sg//project/fruition-819,condo,22.0
Thomson Grove,https://www.propertyguru.com.sg//project/thomson-grove-813,condo,116.0
Tanjong Ria Condominium,https://www.propertyguru.com.sg//project/tanjong-ria-condominium-809,condo,168.0
Bukit Regency,https://www.propertyguru.com.sg//project/bukit-regency-806,condo,224.0
Holland Hill Park,https://www.propertyguru.com.sg//project/holland-hill-park-802,condo,40.0
Balmoral Residences,https://www.propertyguru.com.sg//project/balmoral-residences-800,condo,65.0
Thomson Euro-Asia,https://www.propertyguru.com.sg//project/thomson-euro-asia-811,condo,136.0
Robin Regalia,https://www.propertyguru.com.sg//project/robin-regalia-798,condo,48.0
Balmoral Tower,https://www.propertyguru.com.sg//project/balmoral-tower-801,condo,34.0
The Edgewater,https://www.propertyguru.com.sg//project/the-edgewater-831,condo,53.0
Coastarina,https://www.propertyguru.com.sg//project/coastarina-830,condo,56.0
The Lighthouse,https://www.propertyguru.com.sg//project/the-lighthouse-845,condo,51.0
Kellett Court,https://www.propertyguru.com.sg//project/kellett-court-902,condo,43.0
Villa Martia,https://www.propertyguru.com.sg//project/villa-martia-867,condo,60.0
Bukit View,https://www.propertyguru.com.sg//project/bukit-view-890,condo,80.0
Pasir View Park,https://www.propertyguru.com.sg//project/pasir-view-park-891,condo,80.0
Chancery Esquire,https://www.propertyguru.com.sg//project/chancery-esquire-881,condo,31.0
The Beaumont,https://www.propertyguru.com.sg//project/the-beaumont-908,condo,64.0
The Cascadia,https://www.propertyguru.com.sg//project/the-cascadia-958,condo,536.0
The Parc Condominium,https://www.propertyguru.com.sg//project/the-parc-condominium-960,condo,659.0
Soleil @ Sinaran,https://www.propertyguru.com.sg//project/soleil-sinaran-966,condo,417.0
Cliveden at Grange,https://www.propertyguru.com.sg//project/cliveden-at-grange-972,condo,110.0
Northwoods,https://www.propertyguru.com.sg//project/northwoods-963,condo,140.0
Thomson V Two,https://www.propertyguru.com.sg//project/thomson-v-two-964,condo,122.0
The Suites @ Central,https://www.propertyguru.com.sg//project/the-suites-central-962,condo,157.0
The Tropic Gardens,https://www.propertyguru.com.sg//project/the-tropic-gardens-1056,condo,36.0
D'Oasia,https://www.propertyguru.com.sg//project/d-oasia-1055,condo,32.0
Kovan 81,https://www.propertyguru.com.sg//project/kovan-81-1038,condo,29.0
De Paradiso,https://www.propertyguru.com.sg//project/de-paradiso-1048,condo,54.0
Warner Court,https://www.propertyguru.com.sg//project/warner-court-1083,condo,36.0
Palm Lodge,https://www.propertyguru.com.sg//project/palm-lodge-1100,condo,56.0
Shelford Green,https://www.propertyguru.com.sg//project/shelford-green-1116,condo,33.0
Ovada 8,https://www.propertyguru.com.sg//project/ovada-8-1099,condo,
Parc Regency,https://www.propertyguru.com.sg//project/parc-regency-1184,condo,20.0
Sunshine Residences,https://www.propertyguru.com.sg//project/sunshine-residences-1186,condo,18.0
Casa Melwani,https://www.propertyguru.com.sg//project/casa-melwani-1176,condo,
Le Wilkie,https://www.propertyguru.com.sg//project/le-wilkie-1182,condo,41.0
Gold Coast Condo,https://www.propertyguru.com.sg//project/gold-coast-condo-1238,condo,67.0
Oasis Garden,https://www.propertyguru.com.sg//project/oasis-garden-1240,condo,134.0
La Meyer,https://www.propertyguru.com.sg//project/la-meyer-1232,condo,30.0
Bayville Condo,https://www.propertyguru.com.sg//project/bayville-condo-1239,condo,63.0
Casa Fortuna,https://www.propertyguru.com.sg//project/casa-fortuna-1220,condo,106.0
Elizabeth Heights,https://www.propertyguru.com.sg//project/elizabeth-heights-1227,condo,90.0
Charisma View,https://www.propertyguru.com.sg//project/charisma-view-1228,condo,36.0
The Eden @ Tampines,https://www.propertyguru.com.sg//project/the-eden-tampines-1214,condo,430.0
The Sunniflora,https://www.propertyguru.com.sg//project/the-sunniflora-1222,condo,12.0
St Thomas Court,https://www.propertyguru.com.sg//project/st-thomas-court-1229,condo,11.0
The Arizon,https://www.propertyguru.com.sg//project/the-arizon-1231,condo,12.0
Rio Gardens,https://www.propertyguru.com.sg//project/rio-gardens-1235,condo,54.0
Villas Laguna,https://www.propertyguru.com.sg//project/villas-laguna-1230,condo,31.0
Regis Mansions,https://www.propertyguru.com.sg//project/regis-mansions-1234,condo,40.0
90 Holland Road,https://www.propertyguru.com.sg//project/90-holland-road-1226,condo,61.0
The Verte,https://www.propertyguru.com.sg//project/the-verte-1291,condo,36.0
Parc Seabreeze,https://www.propertyguru.com.sg//project/parc-seabreeze-1299,condo,91.0
Clover By The Park,https://www.propertyguru.com.sg//project/clover-by-the-park-1295,condo,616.0
Dakota Residences,https://www.propertyguru.com.sg//project/dakota-residences-1294,condo,348.0
Heritage Apartments,https://www.propertyguru.com.sg//project/heritage-apartments-1293,condo,19.0
8 Rodyk,https://www.propertyguru.com.sg//project/8-rodyk-1296,condo,50.0
Cantiz @ Rambai,https://www.propertyguru.com.sg//project/cantiz-rambai-1298,condo,12.0
Kent Residences,https://www.propertyguru.com.sg//project/kent-residences-1292,condo,13.0
The Huntington,https://www.propertyguru.com.sg//project/the-huntington-1290,condo,42.0
Livia,https://www.propertyguru.com.sg//project/livia-1310,condo,724.0
D'Marine,https://www.propertyguru.com.sg//project/d-marine-1324,condo,16.0
Eastbay,https://www.propertyguru.com.sg//project/eastbay-1316,condo,40.0
Cascata,https://www.propertyguru.com.sg//project/cascata-1323,condo,16.0
Silversea,https://www.propertyguru.com.sg//project/silversea-1309,condo,383.0
The Sunnidora,https://www.propertyguru.com.sg//project/the-sunnidora-1314,condo,12.0
Vogx,https://www.propertyguru.com.sg//project/vogx-1308,condo,29.0
La Maison,https://www.propertyguru.com.sg//project/la-maison-1312,condo,24.0
Riva Lodge,https://www.propertyguru.com.sg//project/riva-lodge-1319,condo,25.0
Sanctuary Green,https://www.propertyguru.com.sg//project/sanctuary-green-105,condo,522.0
Viz at Holland,https://www.propertyguru.com.sg//project/viz-at-holland-98,condo,165.0
The Stellar,https://www.propertyguru.com.sg//project/the-stellar-96,condo,162.0
The Sixth Avenue Residences,https://www.propertyguru.com.sg//project/the-sixth-avenue-residences-118,condo,175.0
Mandarin Gardens,https://www.propertyguru.com.sg//project/mandarin-gardens-107,condo,1000.0
Gardenvista,https://www.propertyguru.com.sg//project/gardenvista-144,condo,318.0
Blue Horizon,https://www.propertyguru.com.sg//project/blue-horizon-151,condo,616.0
The Berth by the Cove,https://www.propertyguru.com.sg//project/the-berth-by-the-cove-152,condo,200.0
Parc Oasis,https://www.propertyguru.com.sg//project/parc-oasis-141,condo,950.0
The Foliage,https://www.propertyguru.com.sg//project/the-foliage-145,condo,88.0
Newton One,https://www.propertyguru.com.sg//project/newton-one-146,condo,91.0
Cote D'Azur,https://www.propertyguru.com.sg//project/cote-d-azur-147,condo,612.0
Pebble Bay,https://www.propertyguru.com.sg//project/pebble-bay-143,condo,510.0
The Tessarina,https://www.propertyguru.com.sg//project/the-tessarina-169,condo,443.0
The Ford @ Holland,https://www.propertyguru.com.sg//project/the-ford-holland-183,condo,85.0
Cuscaden Residences,https://www.propertyguru.com.sg//project/cuscaden-residences-185,condo,150.0
The Mayfair,https://www.propertyguru.com.sg//project/the-mayfair-176,condo,452.0
Riveredge,https://www.propertyguru.com.sg//project/riveredge-173,condo,135.0
